ID,Account Balance,Duration of Credit (month),Payment Status of Previous Credit,Purpose,Credit Amount,Value Savings/Stocks,Length of current employment,Instalment per cent,Sex,Marital Status,Guarantors,Duration in Current address,Most valuable available asset,Age (years),Concurrent Credits,Type of apartment,No of Credits at this Bank,Occupation,No of dependents,Telephone,Foreign Worker,Creditability,AgeGroup,Duration of credit,Credit Amount Group
297,no account,30,other bank,furniture/equipment,3077,none,more than 7 years,moderate,male,single,0,1 to 4 years,saving,40,none,own,more than 1,skilled,1,1,1,Good,Old.Adult,more than 2 year,middle
298,no account,6,no credits taken/ all credits paid back duly,new car,1204,moderate,1 to 4 years,most,male,single,0,less than 1 year,none,35,bank,rent,1,skilled,0,0,0,Good,Adult,within 1 year,less than 2k
299,Negative,30,other bank,used car,6187,moderate,4 to 7 years,less,male,married,0,more than 7 years,saving,24,none,rent,more than 1,skilled,0,0,1,Good,Youth,more than 2 year,middle
300,no account,6,other bank,furniture/equipment,1554,poor,4 to 7 years,less,female,married,0,1 to 4 years,saving,24,none,rent,more than 1,skilled,0,1,1,Good,Youth,within 1 year,less than 2k
301,poor,24,existing  credits paid back duly till now,furniture/equipment,3758,moderate,unemployed,less,female,married,0,more than 7 years,none,23,none,rent,1,unemployed,0,0,1,Good,Youth,more than 2 year,middle
302,poor,18,other bank,furniture/equipment,7374,poor,unemployed,most,male,single,0,more than 7 years,insurance,40,stores,own,more than 1,office,0,1,1,Good,Old.Adult,within 2 year,middle
303,Negative,10,other bank,new car,1038,poor,4 to 7 years,most,male,single,1,4 to 7 years,insurance,49,none,own,more than 1,skilled,0,1,1,Good,Old.Adult,within 1 year,less than 2k
304,poor,9,all credits at this bank paid back duly,new car,1437,moderate,4 to 7 years,moderate,male,single,0,4 to 7 years,none,29,none,own,1,skilled,0,0,1,Bad,Adult,within 1 year,less than 2k
305,rich,21,other bank,education,2319,poor,less than 1  year,moderate,male,single,0,less than 1 year,saving,33,none,rent,1,skilled,0,0,1,Bad,Adult,within 2 year,middle
306,no account,21,existing  credits paid back duly till now,used car,5248,none,1 to 4 years,less,male,single,0,4 to 7 years,saving,26,none,own,1,skilled,0,0,1,Good,Adult,within 2 year,middle
307,no account,18,existing  credits paid back duly till now,furniture/equipment,4594,poor,less than 1  year,moderate,male,single,0,1 to 4 years,saving,32,none,own,1,skilled,0,1,1,Good,Adult,within 2 year,middle
308,Negative,12,existing  credits paid back duly till now,furniture/equipment,2214,poor,1 to 4 years,most,male,single,0,4 to 7 years,insurance,24,none,own,1,unskilled,0,0,1,Good,Youth,within 2 year,middle
309,no account,15,other bank,furniture/equipment,1829,poor,more than 7 years,most,male,single,0,more than 7 years,saving,46,none,own,more than 1,skilled,0,1,1,Good,Old.Adult,within 2 year,less than 2k
310,poor,18,no credits taken/ all credits paid back duly,new car,2278,moderate,less than 1  year,moderate,female,married,0,4 to 7 years,saving,28,none,own,more than 1,skilled,0,0,1,Bad,Adult,within 2 year,middle
311,Negative,6,other bank,furniture/equipment,1957,poor,4 to 7 years,less,female,married,0,more than 7 years,saving,31,none,own,1,skilled,0,0,1,Good,Adult,within 1 year,less than 2k
312,no account,36,existing  credits paid back duly till now,new car,909,moderate,more than 7 years,most,male,single,0,more than 7 years,insurance,36,none,own,1,skilled,0,0,1,Good,Old.Adult,more than 2 year,less than 2k
313,no account,24,other bank,business,4139,moderate,1 to 4 years,moderate,male,single,0,4 to 7 years,insurance,27,none,own,more than 1,unskilled,0,1,1,Good,Adult,more than 2 year,middle
314,Negative,28,existing  credits paid back duly till now,new car,4006,poor,1 to 4 years,moderate,male,single,0,1 to 4 years,saving,45,none,own,1,unskilled,0,0,1,Bad,Old.Adult,more than 2 year,middle
315,poor,18,other bank,furniture/equipment,1928,poor,less than 1  year,moderate,male,single,0,1 to 4 years,property,31,none,own,more than 1,unskilled,0,0,1,Bad,Adult,within 2 year,less than 2k
316,poor,36,existing  credits paid back duly till now,furniture/equipment,4795,poor,less than 1  year,most,female,married,0,less than 1 year,none,30,none,own,1,office,0,1,1,Good,Adult,more than 2 year,middle
317,poor,18,existing  credits paid back duly till now,repairs,3872,poor,unemployed,moderate,female,married,0,more than 7 years,saving,67,none,own,1,skilled,0,1,1,Good,Old.Adult,within 2 year,middle
318,no account,6,delay history,business,1743,moderate,1 to 4 years,less,male,single,0,1 to 4 years,property,34,none,own,more than 1,unskilled,0,0,1,Good,Adult,within 1 year,less than 2k
319,Negative,15,existing  credits paid back duly till now,new car,1403,poor,1 to 4 years,moderate,female,married,0,more than 7 years,saving,28,none,rent,1,skilled,0,0,1,Good,Adult,within 2 year,less than 2k
320,no account,12,existing  credits paid back duly till now,furniture/equipment,1768,poor,1 to 4 years,moderate,male,single,0,1 to 4 years,property,24,none,rent,1,unskilled,0,0,1,Good,Youth,within 2 year,less than 2k
321,poor,9,existing  credits paid back duly till now,new car,1549,none,less than 1  year,most,male,single,0,1 to 4 years,property,35,none,own,1,unemployed,0,0,1,Good,Adult,within 1 year,less than 2k
322,poor,18,delay history,furniture/equipment,4297,poor,more than 7 years,most,male,single,0,4 to 7 years,none,40,none,own,1,office,0,1,1,Bad,Old.Adult,within 2 year,middle
323,poor,60,delay history,furniture/equipment,9157,none,1 to 4 years,moderate,male,single,0,1 to 4 years,none,27,none,free,1,office,0,0,1,Good,Adult,more than 2 year,middle
324,rich,6,other bank,new car,1323,moderate,more than 7 years,moderate,male,single,0,more than 7 years,saving,28,none,own,more than 1,skilled,1,1,1,Good,Adult,within 1 year,less than 2k
325,poor,6,existing  credits paid back duly till now,furniture/equipment,1068,poor,more than 7 years,most,male,single,0,more than 7 years,saving,28,none,own,1,skilled,1,0,1,Good,Adult,within 1 year,less than 2k
326,poor,18,existing  credits paid back duly till now,business,1941,rich,1 to 4 years,most,male,single,0,1 to 4 years,insurance,35,none,own,1,unskilled,0,1,1,Good,Adult,within 2 year,less than 2k
327,no account,24,existing  credits paid back duly till now,used car,5433,none,unemployed,moderate,female,married,0,more than 7 years,insurance,26,none,rent,1,office,0,1,1,Good,Adult,more than 2 year,middle
328,Negative,12,existing  credits paid back duly till now,furniture/equipment,1498,poor,1 to 4 years,most,female,married,0,less than 1 year,saving,23,bank,own,1,skilled,0,0,1,Good,Youth,within 2 year,less than 2k
329,no account,4,other bank,furniture/equipment,1503,poor,4 to 7 years,moderate,male,single,0,less than 1 year,property,42,none,own,more than 1,unskilled,1,0,1,Good,Old.Adult,within 1 year,less than 2k
330,no account,24,existing  credits paid back duly till now,furniture/equipment,3430,moderate,more than 7 years,moderate,male,single,0,1 to 4 years,saving,31,none,own,1,skilled,1,1,1,Good,Adult,more than 2 year,middle
331,poor,18,existing  credits paid back duly till now,furniture/equipment,3001,poor,4 to 7 years,moderate,female,married,0,more than 7 years,property,40,none,rent,1,skilled,0,0,1,Good,Old.Adult,within 2 year,middle
332,poor,12,existing  credits paid back duly till now,furniture/equipment,1092,poor,1 to 4 years,most,female,married,1,more than 7 years,property,49,none,own,more than 1,skilled,0,1,1,Good,Old.Adult,within 2 year,less than 2k
333,poor,6,all credits at this bank paid back duly,new car,931,moderate,less than 1  year,less,female,married,0,less than 1 year,insurance,32,stores,own,1,unskilled,0,0,1,Bad,Adult,within 1 year,less than 2k
334,poor,36,existing  credits paid back duly till now,new car,14318,poor,more than 7 years,most,male,single,0,1 to 4 years,none,57,none,free,1,office,0,1,1,Bad,Old.Adult,more than 2 year,more than 10k
335,poor,48,no credits taken/ all credits paid back duly,business,12204,none,1 to 4 years,moderate,male,single,0,1 to 4 years,saving,48,bank,own,1,office,0,1,1,Good,Old.Adult,more than 2 year,more than 10k
336,poor,11,other bank,new car,1322,rich,1 to 4 years,most,female,married,0,more than 7 years,saving,40,none,own,more than 1,skilled,0,0,1,Good,Old.Adult,within 1 year,less than 2k
337,poor,36,all credits at this bank paid back duly,domestic appliances,3990,none,less than 1  year,moderate,female,married,0,1 to 4 years,none,29,bank,own,1,unemployed,0,0,1,Good,Adult,more than 2 year,middle
338,rich,24,existing  credits paid back duly till now,new car,947,poor,4 to 7 years,most,male,single,0,4 to 7 years,none,38,bank,free,1,skilled,1,0,1,Bad,Old.Adult,more than 2 year,less than 2k
339,poor,24,delay history,business,6967,moderate,4 to 7 years,most,male,single,0,more than 7 years,saving,36,none,rent,1,office,0,1,1,Good,Old.Adult,more than 2 year,middle
340,Negative,12,existing  credits paid back duly till now,furniture/equipment,708,poor,1 to 4 years,moderate,male,single,1,4 to 7 years,insurance,38,none,own,1,unskilled,1,0,1,Good,Old.Adult,within 2 year,less than 2k
341,Negative,24,all credits at this bank paid back duly,other,1358,none,more than 7 years,most,male,single,0,4 to 7 years,saving,40,stores,own,1,office,0,1,1,Bad,Old.Adult,more than 2 year,less than 2k
342,Negative,24,existing  credits paid back duly till now,furniture/equipment,2439,poor,less than 1  year,most,female,married,0,more than 7 years,property,35,none,own,1,skilled,0,1,1,Bad,Adult,more than 2 year,middle
343,poor,60,existing  credits paid back duly till now,new car,7408,moderate,less than 1  year,most,female,married,0,1 to 4 years,insurance,24,none,own,1,office,0,0,1,Bad,Youth,more than 2 year,middle
344,poor,12,existing  credits paid back duly till now,used car,2028,none,1 to 4 years,most,male,single,0,1 to 4 years,saving,30,none,own,1,skilled,0,0,1,Good,Adult,within 2 year,middle
345,Negative,36,existing  credits paid back duly till now,used car,8335,none,more than 7 years,moderate,male,single,0,more than 7 years,none,47,none,free,1,skilled,0,0,1,Bad,Old.Adult,more than 2 year,middle
346,poor,12,existing  credits paid back duly till now,furniture/equipment,1922,poor,1 to 4 years,most,male,single,0,1 to 4 years,insurance,37,none,own,1,unskilled,0,0,1,Bad,Old.Adult,within 2 year,less than 2k
347,no account,36,existing  credits paid back duly till now,furniture/equipment,3595,poor,more than 7 years,most,male,single,0,1 to 4 years,saving,28,none,own,1,skilled,0,0,1,Good,Adult,more than 2 year,middle
348,no account,15,other bank,furniture/equipment,3343,poor,1 to 4 years,most,male,single,0,1 to 4 years,none,28,none,free,1,skilled,0,1,1,Good,Adult,within 2 year,middle
349,Negative,48,existing  credits paid back duly till now,used car,10297,poor,4 to 7 years,most,male,single,0,more than 7 years,none,39,none,free,more than 1,skilled,1,1,1,Bad,Old.Adult,more than 2 year,more than 10k
350,poor,24,delay history,furniture/equipment,1553,moderate,4 to 7 years,moderate,female,married,0,1 to 4 years,insurance,23,none,rent,more than 1,skilled,0,1,1,Good,Youth,more than 2 year,less than 2k
351,Negative,12,existing  credits paid back duly till now,new car,1372,poor,4 to 7 years,moderate,male,single,0,4 to 7 years,saving,36,none,own,1,skilled,0,0,1,Bad,Old.Adult,within 2 year,less than 2k
352,Negative,12,existing  credits paid back duly till now,education,795,poor,less than 1  year,most,female,married,0,more than 7 years,insurance,53,none,own,1,skilled,0,0,1,Bad,Old.Adult,within 2 year,less than 2k
353,Negative,36,existing  credits paid back duly till now,furniture/equipment,2302,poor,1 to 4 years,most,male,single,0,more than 7 years,saving,31,none,rent,1,skilled,0,0,1,Bad,Adult,more than 2 year,middle
354,no account,12,other bank,furniture/equipment,1935,poor,more than 7 years,most,male,single,0,more than 7 years,property,43,none,own,more than 1,skilled,0,1,1,Good,Old.Adult,within 2 year,less than 2k
355,no account,9,other bank,new car,1224,poor,1 to 4 years,moderate,male,single,0,less than 1 year,property,30,none,own,more than 1,skilled,0,0,1,Good,Adult,within 1 year,less than 2k
356,no account,12,existing  credits paid back duly till now,furniture/equipment,1963,poor,4 to 7 years,most,male,single,0,1 to 4 years,saving,31,none,rent,more than 1,office,1,1,1,Good,Adult,within 2 year,less than 2k
357,poor,36,other bank,new car,2820,poor,less than 1  year,most,male,single,0,more than 7 years,saving,27,none,own,more than 1,skilled,0,0,1,Bad,Adult,more than 2 year,middle
358,no account,6,existing  credits paid back duly till now,domestic appliances,1338,moderate,1 to 4 years,less,male,single,0,more than 7 years,property,62,none,own,1,skilled,0,0,1,Good,Old.Adult,within 1 year,less than 2k
359,Negative,36,other bank,furniture/equipment,2348,poor,1 to 4 years,moderate,male,married,0,1 to 4 years,insurance,46,none,own,more than 1,skilled,0,1,1,Good,Old.Adult,more than 2 year,middle
360,Negative,18,existing  credits paid back duly till now,used car,7511,none,more than 7 years,less,male,single,0,more than 7 years,insurance,51,none,free,1,skilled,1,1,1,Bad,Old.Adult,within 2 year,middle
361,no account,15,other bank,education,1532,moderate,1 to 4 years,most,female,married,0,4 to 7 years,saving,31,none,own,1,skilled,0,0,1,Good,Adult,within 2 year,less than 2k
362,poor,15,all credits at this bank paid back duly,new car,1264,moderate,1 to 4 years,moderate,male,married,0,1 to 4 years,insurance,25,none,rent,1,skilled,0,0,1,Bad,Adult,within 2 year,less than 2k
363,poor,30,existing  credits paid back duly till now,new car,2150,poor,1 to 4 years,most,female,married,1,1 to 4 years,none,24,bank,own,1,skilled,0,0,1,Bad,Youth,more than 2 year,middle
364,no account,12,other bank,new car,682,moderate,4 to 7 years,most,female,married,0,4 to 7 years,saving,51,none,own,more than 1,skilled,0,1,1,Good,Old.Adult,within 2 year,less than 2k
365,no account,12,existing  credits paid back duly till now,business,1076,poor,1 to 4 years,moderate,male,married,0,1 to 4 years,property,26,none,own,1,skilled,0,1,1,Good,Adult,within 2 year,less than 2k
366,no account,27,delay history,business,5117,poor,4 to 7 years,moderate,male,single,0,more than 7 years,saving,26,none,own,more than 1,skilled,0,0,1,Good,Adult,more than 2 year,middle
367,poor,30,other bank,furniture/equipment,8386,poor,4 to 7 years,moderate,male,single,0,1 to 4 years,insurance,49,none,own,1,skilled,0,0,1,Bad,Old.Adult,more than 2 year,middle
368,no account,10,existing  credits paid back duly till now,new car,1546,poor,1 to 4 years,moderate,male,single,0,1 to 4 years,property,31,none,own,1,unskilled,1,0,0,Good,Adult,within 1 year,less than 2k
369,poor,24,other bank,furniture/equipment,1216,moderate,less than 1  year,most,male,single,0,more than 7 years,none,38,bank,own,more than 1,skilled,1,0,1,Bad,Old.Adult,more than 2 year,less than 2k
370,no account,15,other bank,furniture/equipment,1316,moderate,1 to 4 years,moderate,male,married,0,1 to 4 years,insurance,47,none,own,more than 1,unskilled,0,0,1,Good,Old.Adult,within 2 year,less than 2k
371,no account,18,existing  credits paid back duly till now,furniture/equipment,2515,poor,1 to 4 years,moderate,male,single,0,more than 7 years,property,43,none,own,1,skilled,0,1,1,Good,Old.Adult,within 2 year,middle
372,no account,12,existing  credits paid back duly till now,education,1393,poor,more than 7 years,most,male,single,0,more than 7 years,insurance,47,bank,own,more than 1,skilled,1,1,1,Good,Old.Adult,within 2 year,less than 2k
373,poor,12,existing  credits paid back duly till now,new car,7472,none,unemployed,less,female,married,0,1 to 4 years,property,24,none,rent,1,unemployed,0,0,1,Good,Youth,within 2 year,middle
374,no account,12,other bank,furniture/equipment,1592,rich,4 to 7 years,moderate,female,married,0,1 to 4 years,insurance,35,none,own,1,skilled,0,0,1,Good,Adult,within 2 year,less than 2k
375,no account,12,other bank,repairs,996,none,4 to 7 years,most,female,married,0,more than 7 years,property,23,none,own,more than 1,skilled,0,0,1,Good,Youth,within 2 year,less than 2k
376,Negative,20,other bank,new car,2235,poor,1 to 4 years,most,male,married,1,1 to 4 years,insurance,33,bank,rent,more than 1,skilled,0,0,0,Bad,Adult,within 2 year,middle
377,Negative,12,existing  credits paid back duly till now,furniture/equipment,727,moderate,less than 1  year,most,male,married,0,4 to 7 years,none,33,none,own,1,unskilled,0,1,1,Bad,Adult,within 2 year,less than 2k
378,poor,8,existing  credits paid back duly till now,business,907,poor,less than 1  year,moderate,male,married,0,1 to 4 years,property,26,none,own,1,skilled,0,1,1,Good,Adult,within 1 year,less than 2k
379,no account,15,other bank,used car,3368,rich,more than 7 years,moderate,male,single,0,more than 7 years,none,23,none,rent,more than 1,skilled,0,1,1,Good,Youth,within 2 year,middle
380,no account,30,other bank,furniture/equipment,5954,poor,4 to 7 years,moderate,male,single,1,1 to 4 years,saving,38,none,own,1,skilled,0,0,1,Good,Old.Adult,more than 2 year,middle
381,poor,12,existing  credits paid back duly till now,new car,836,moderate,less than 1  year,most,female,married,0,1 to 4 years,insurance,23,bank,own,1,unskilled,0,0,1,Bad,Youth,within 2 year,less than 2k
382,poor,21,existing  credits paid back duly till now,business,1188,poor,more than 7 years,moderate,female,married,0,more than 7 years,insurance,39,none,own,1,skilled,1,0,1,Bad,Old.Adult,within 2 year,less than 2k
383,no account,21,delay history,furniture/equipment,1591,moderate,4 to 7 years,most,male,single,0,4 to 7 years,property,34,none,own,more than 1,office,0,0,1,Good,Adult,within 2 year,less than 2k
384,rich,12,existing  credits paid back duly till now,furniture/equipment,1297,poor,1 to 4 years,moderate,male,married,0,more than 7 years,property,23,none,rent,1,skilled,0,0,1,Good,Youth,within 2 year,less than 2k
385,no account,13,existing  credits paid back duly till now,furniture/equipment,1409,moderate,unemployed,moderate,female,married,0,more than 7 years,property,64,none,own,1,skilled,0,0,1,Good,Old.Adult,within 2 year,less than 2k
386,poor,30,other bank,new car,2181,none,more than 7 years,most,male,single,0,more than 7 years,property,36,none,own,more than 1,skilled,0,0,1,Good,Old.Adult,more than 2 year,middle
387,poor,24,existing  credits paid back duly till now,used car,11560,poor,1 to 4 years,less,female,married,0,more than 7 years,saving,23,none,rent,more than 1,office,0,0,1,Bad,Youth,more than 2 year,more than 10k
388,poor,15,existing  credits paid back duly till now,repairs,1308,poor,more than 7 years,most,male,single,0,more than 7 years,saving,38,none,own,more than 1,unskilled,0,0,1,Good,Old.Adult,within 2 year,less than 2k
389,Negative,36,all credits at this bank paid back duly,furniture/equipment,2746,poor,more than 7 years,most,male,single,0,more than 7 years,saving,31,bank,own,1,skilled,0,0,1,Bad,Adult,more than 2 year,middle
390,poor,12,other bank,domestic appliances,1424,poor,4 to 7 years,most,male,single,0,4 to 7 years,insurance,26,none,own,1,skilled,0,0,1,Good,Adult,within 2 year,less than 2k
391,poor,9,all credits at this bank paid back duly,used car,5129,poor,more than 7 years,moderate,female,married,0,more than 7 years,none,74,bank,free,1,office,1,1,1,Bad,Old.Adult,within 1 year,middle
392,poor,18,other bank,business,3590,poor,unemployed,moderate,male,married,0,4 to 7 years,saving,40,none,own,more than 1,unemployed,1,1,1,Good,Old.Adult,within 2 year,middle
393,poor,12,existing  credits paid back duly till now,furniture/equipment,1155,poor,more than 7 years,moderate,male,married,1,4 to 7 years,property,40,bank,own,more than 1,unskilled,0,0,1,Good,Old.Adult,within 2 year,less than 2k
394,poor,36,existing  credits paid back duly till now,used car,6948,poor,1 to 4 years,moderate,male,single,0,1 to 4 years,saving,35,none,rent,1,office,0,1,1,Good,Adult,more than 2 year,middle
395,poor,48,no credits taken/ all credits paid back duly,other,18424,poor,1 to 4 years,less,female,married,0,1 to 4 years,insurance,32,bank,own,1,office,0,1,0,Bad,Adult,more than 2 year,more than 10k
396,Negative,24,no credits taken/ all credits paid back duly,furniture/equipment,4110,poor,more than 7 years,moderate,male,single,0,more than 7 years,none,23,bank,rent,more than 1,skilled,1,0,1,Bad,Youth,more than 2 year,middle
397,poor,15,existing  credits paid back duly till now,repairs,2631,moderate,1 to 4 years,moderate,female,married,0,1 to 4 years,property,25,none,own,1,unskilled,0,0,1,Good,Adult,within 2 year,middle
398,Negative,24,existing  credits paid back duly till now,new car,1442,poor,4 to 7 years,most,female,married,0,more than 7 years,saving,23,none,rent,more than 1,skilled,0,0,1,Bad,Youth,more than 2 year,less than 2k
399,Negative,18,existing  credits paid back duly till now,furniture/equipment,2462,poor,1 to 4 years,moderate,male,single,0,1 to 4 years,saving,22,none,own,1,skilled,0,0,1,Bad,Youth,within 2 year,middle
400,Negative,12,no credits taken/ all credits paid back duly,furniture/equipment,6199,poor,1 to 4 years,most,male,single,0,1 to 4 years,insurance,28,none,rent,more than 1,skilled,0,1,1,Bad,Adult,within 2 year,middle
401,Negative,15,delay history,furniture/equipment,3643,poor,more than 7 years,less,female,married,0,more than 7 years,insurance,27,none,own,more than 1,unskilled,0,0,1,Good,Adult,within 2 year,middle
402,no account,18,existing  credits paid back duly till now,new car,2662,none,4 to 7 years,most,male,single,0,4 to 7 years,insurance,32,none,own,1,skilled,0,0,0,Good,Adult,within 2 year,middle
403,poor,12,other bank,furniture/equipment,3617,poor,more than 7 years,less,male,single,0,more than 7 years,saving,28,none,rent,more than 1,skilled,0,1,1,Good,Adult,within 2 year,middle
404,no account,24,existing  credits paid back duly till now,new car,1525,rich,4 to 7 years,most,female,married,0,4 to 7 years,saving,34,none,own,1,skilled,1,1,1,Good,Adult,more than 2 year,less than 2k
405,no account,18,existing  credits paid back duly till now,used car,3378,none,1 to 4 years,moderate,male,single,0,less than 1 year,insurance,31,none,own,1,skilled,0,1,1,Good,Adult,within 2 year,middle
406,poor,6,existing  credits paid back duly till now,furniture/equipment,753,poor,1 to 4 years,moderate,female,married,1,4 to 7 years,property,64,none,own,1,skilled,0,0,1,Good,Old.Adult,within 1 year,less than 2k
407,poor,18,existing  credits paid back duly till now,furniture/equipment,1301,poor,more than 7 years,most,male,married,1,1 to 4 years,property,32,none,own,1,unskilled,0,0,1,Good,Adult,within 2 year,less than 2k
408,poor,6,existing  credits paid back duly till now,furniture/equipment,590,poor,less than 1  year,moderate,male,married,0,4 to 7 years,property,26,none,own,1,unskilled,0,0,0,Good,Adult,within 1 year,less than 2k
409,Negative,30,existing  credits paid back duly till now,furniture/equipment,3108,poor,less than 1  year,moderate,male,single,0,more than 7 years,insurance,31,none,own,1,unskilled,0,0,1,Bad,Adult,more than 2 year,middle
410,Negative,24,existing  credits paid back duly till now,furniture/equipment,7721,none,less than 1  year,less,female,married,0,1 to 4 years,insurance,30,none,own,1,skilled,0,1,0,Good,Adult,more than 2 year,middle
411,poor,13,existing  credits paid back duly till now,furniture/equipment,2101,poor,less than 1  year,moderate,female,married,1,more than 7 years,insurance,23,none,own,1,unskilled,0,0,1,Good,Youth,within 2 year,middle
412,Negative,48,existing  credits paid back duly till now,education,7476,poor,4 to 7 years,most,male,single,0,less than 1 year,none,50,none,free,1,office,0,1,1,Good,Old.Adult,more than 2 year,middle
413,no account,18,existing  credits paid back duly till now,business,1950,poor,4 to 7 years,most,male,single,0,less than 1 year,saving,34,stores,own,more than 1,skilled,0,1,1,Good,Adult,within 2 year,less than 2k
414,no account,24,existing  credits paid back duly till now,furniture/equipment,1901,moderate,1 to 4 years,most,male,single,0,more than 7 years,saving,29,none,rent,1,office,0,1,1,Good,Adult,more than 2 year,less than 2k
415,Negative,21,existing  credits paid back duly till now,furniture/equipment,3599,poor,4 to 7 years,less,female,married,0,more than 7 years,saving,26,none,rent,1,unskilled,0,0,1,Good,Adult,within 2 year,middle
416,Negative,18,existing  credits paid back duly till now,education,750,poor,unemployed,most,female,married,0,less than 1 year,property,27,none,own,1,unemployed,0,0,1,Bad,Adult,within 2 year,less than 2k
417,Negative,12,delay history,new car,1344,poor,1 to 4 years,most,male,single,0,1 to 4 years,property,43,none,own,more than 1,unskilled,1,0,1,Good,Old.Adult,within 2 year,less than 2k
418,poor,7,existing  credits paid back duly till now,furniture/equipment,2329,poor,less than 1  year,less,female,married,1,less than 1 year,property,45,none,own,1,skilled,0,0,1,Good,Old.Adult,within 1 year,middle
419,Negative,42,other bank,repairs,3394,poor,unemployed,most,male,single,1,more than 7 years,saving,65,none,own,more than 1,unemployed,0,0,1,Good,Old.Adult,more than 2 year,middle
420,Negative,36,existing  credits paid back duly till now,new car,9271,poor,4 to 7 years,moderate,male,single,0,less than 1 year,saving,24,none,own,1,skilled,0,1,1,Bad,Youth,more than 2 year,middle
421,poor,12,other bank,used car,1804,moderate,less than 1  year,moderate,male,single,0,more than 7 years,insurance,44,none,own,1,skilled,0,0,1,Good,Old.Adult,within 2 year,less than 2k
422,Negative,12,existing  credits paid back duly till now,furniture/equipment,701,poor,1 to 4 years,most,male,married,0,1 to 4 years,property,40,none,own,1,unskilled,0,0,1,Good,Old.Adult,within 2 year,less than 2k
423,poor,24,existing  credits paid back duly till now,new car,1201,poor,less than 1  year,most,male,single,0,less than 1 year,insurance,26,none,own,1,skilled,0,0,1,Good,Adult,more than 2 year,less than 2k
424,no account,24,existing  credits paid back duly till now,furniture/equipment,3181,poor,less than 1  year,most,female,married,0,more than 7 years,insurance,26,none,own,1,skilled,0,1,1,Good,Adult,more than 2 year,middle
425,poor,6,existing  credits paid back duly till now,repairs,454,poor,less than 1  year,moderate,male,married,0,less than 1 year,insurance,22,none,own,1,unskilled,0,0,1,Good,Youth,within 1 year,less than 2k
426,no account,10,existing  credits paid back duly till now,new car,1418,moderate,1 to 4 years,moderate,male,single,0,1 to 4 years,property,35,none,rent,1,unskilled,0,0,0,Good,Adult,within 1 year,less than 2k
427,poor,12,delay history,furniture/equipment,585,poor,1 to 4 years,most,male,married,1,more than 7 years,property,20,none,rent,more than 1,skilled,0,0,1,Good,Youth,within 2 year,less than 2k
428,no account,4,other bank,new car,1455,poor,4 to 7 years,moderate,male,single,0,less than 1 year,property,42,none,own,more than 1,unskilled,1,0,1,Good,Old.Adult,within 1 year,less than 2k
429,rich,10,other bank,furniture/equipment,1347,none,4 to 7 years,most,male,single,0,1 to 4 years,insurance,27,none,own,more than 1,skilled,0,1,1,Good,Adult,within 1 year,less than 2k
430,poor,18,delay history,repairs,6204,poor,1 to 4 years,moderate,male,single,0,more than 7 years,property,44,none,own,1,unskilled,1,1,1,Good,Old.Adult,within 2 year,middle
431,no account,24,existing  credits paid back duly till now,used car,2670,poor,more than 7 years,most,male,single,0,more than 7 years,saving,35,none,own,1,office,0,1,1,Good,Adult,more than 2 year,middle
432,poor,12,existing  credits paid back duly till now,furniture/equipment,1158,moderate,1 to 4 years,moderate,male,single,0,less than 1 year,saving,26,none,own,1,skilled,0,1,1,Good,Adult,within 2 year,less than 2k
433,Negative,12,existing  credits paid back duly till now,new car,900,none,1 to 4 years,most,male,married,0,1 to 4 years,saving,23,none,own,1,skilled,0,0,1,Bad,Youth,within 2 year,less than 2k
434,no account,24,other bank,furniture/equipment,2223,moderate,more than 7 years,most,male,single,0,more than 7 years,insurance,52,bank,own,more than 1,skilled,0,0,1,Good,Old.Adult,more than 2 year,middle
435,poor,36,existing  credits paid back duly till now,education,3711,none,1 to 4 years,moderate,male,married,0,1 to 4 years,saving,27,none,own,1,skilled,0,0,1,Good,Adult,more than 2 year,middle
436,poor,45,other bank,furniture/equipment,4746,poor,less than 1  year,most,male,single,0,1 to 4 years,insurance,24,bank,own,more than 1,unskilled,0,0,1,Bad,Youth,more than 2 year,middle
437,no account,21,other bank,furniture/equipment,2288,poor,less than 1  year,most,female,married,0,more than 7 years,insurance,23,none,own,1,skilled,0,1,1,Good,Youth,within 2 year,middle
438,no account,12,other bank,new car,1163,moderate,1 to 4 years,most,male,single,0,more than 7 years,property,44,none,own,1,skilled,0,1,1,Good,Old.Adult,within 2 year,less than 2k
439,no account,36,other bank,furniture/equipment,7127,poor,less than 1  year,moderate,female,married,0,more than 7 years,insurance,23,none,rent,more than 1,skilled,0,1,1,Bad,Youth,more than 2 year,middle
440,no account,18,other bank,furniture/equipment,1149,rich,1 to 4 years,most,male,single,0,4 to 7 years,property,46,none,own,more than 1,skilled,0,0,1,Good,Old.Adult,within 2 year,less than 2k
441,Negative,24,existing  credits paid back duly till now,business,6568,poor,1 to 4 years,moderate,male,married,0,1 to 4 years,saving,21,stores,own,1,unskilled,0,0,1,Good,Youth,more than 2 year,middle
442,poor,72,existing  credits paid back duly till now,furniture/equipment,5595,moderate,1 to 4 years,moderate,male,married,0,1 to 4 years,saving,24,none,own,1,skilled,0,0,1,Bad,Youth,more than 2 year,middle
443,no account,12,existing  credits paid back duly till now,furniture/equipment,763,poor,1 to 4 years,most,female,married,0,less than 1 year,property,26,none,own,1,skilled,0,1,1,Good,Adult,within 2 year,less than 2k
